species,country_of_origin,region,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,clean_cup,sweetness,altitude_low_meters,altitude_high_meters
arabica,mexico,la_yerbabuena,typica,washed,7.75,7.92,7.83,7.92,7.75,7.67,10.0,10.0,1400,1400
arabica,colombia,nariño,caturra,washed,7.92,7.58,7.5,7.83,7.58,7.67,10.0,10.0,2527,2527
arabica,costa_rica,tarrazu,caturra,washed,7.67,7.67,7.75,7.67,7.5,7.75,10.0,10.0,1850,1850
arabica,guatemala,antigua,bourbon,washed,7.75,7.75,7.5,7.75,7.83,7.58,10.0,10.0,1500,1500
arabica,brazil,south_of_minas,yellow_bourbon,natural,7.25,7.58,7.42,8.0,7.75,7.83,10.0,10.0,1,1
arabica,taiwan,dongshan_dist.,typica,washed,7.67,7.75,7.67,7.75,7.42,7.75,10.0,10.0,480,570
arabica,ethiopia,oromia,unknown,natural,7.75,7.75,7.67,7.67,7.58,7.67,10.0,10.0,1650,1703
arabica,brazil,south_of_minas,bourbon,semi_washed,7.67,7.67,7.58,7.5,7.83,8.17,10.0,9.33,1200,1200
arabica,costa_rica,central_valley,catuai,washed,7.83,7.42,7.5,7.83,7.75,7.83,10.0,10.0,1200,1400
arabica,guatemala,oriente,bourbon,washed,7.58,7.83,7.33,8.0,7.58,7.75,10.0,10.0,1219,1219
arabica,brazil,south_of_minas,yellow_bourbon,natural,7.92,7.5,7.33,7.67,8.17,7.5,10.0,10.0,1260,1260
arabica,ecuador,province_of_manabi,unknown,natural,7.5,7.67,7.58,7.75,7.83,7.83,10.0,10.0,800,800
arabica,colombia,huila,caturra,washed,7.67,7.58,7.58,7.83,7.58,7.67,10.0,10.0,1750,1750
arabica,guatemala,oriente,bourbon,washed,7.5,7.83,7.5,7.83,7.83,7.67,10.0,10.0,1310,1310
arabica,mexico,petatlan,bourbon,natural,7.67,8.0,7.67,7.42,7.67,7.5,10.0,10.0,1218,1218
arabica,mexico,la_concordia,pacas,natural,7.67,7.58,7.5,7.75,7.75,7.75,10.0,10.0,1300,1300
arabica,brazil,carmo_de_minas,yellow_bourbon,semi_washed,7.83,7.83,7.58,7.67,7.5,7.58,10.0,10.0,1250,1250
arabica,kenya,nyeri,sl28,washed,7.75,7.58,7.5,7.58,7.75,7.75,10.0,10.0,1800,1800
arabica,brazil,south_of_minas,bourbon,natural,7.67,7.67,7.58,7.75,7.67,7.67,10.0,10.0,890,890
arabica,colombia,huila,caturra,washed,7.83,7.83,7.58,7.58,7.58,7.58,10.0,10.0,442,442
arabica,taiwan,台南市東山區_(dongshan_dist.,typica,natural,7.67,7.67,7.58,7.58,7.67,7.83,10.0,10.0,750,750
arabica,china,yunnan,catimor,washed,7.83,7.75,7.67,7.5,7.58,7.67,10.0,10.0,1650,1650
arabica,colombia,huila,caturra,natural,7.75,7.67,7.5,7.67,7.58,7.83,10.0,10.0,442,442
arabica,uganda,west_nile,bourbon,natural,8.0,7.92,7.58,7.75,7.33,7.5,10.0,10.0,1400,1400
arabica,united_states_(puerto_rico),yauco_region,other,washed,7.83,7.83,7.83,7.67,8.0,8.17,9.33,10.0,853,853
arabica,colombia,huila,caturra,washed,7.67,7.67,7.67,7.92,7.5,7.67,10.0,10.0,1600,1950
arabica,colombia,huila,other,washed,7.67,7.42,7.42,7.42,8.0,8.33,10.0,10.0,1500,1600
arabica,colombia,huila,caturra,washed,7.58,7.67,7.75,7.67,7.67,7.67,10.0,10.0,1750,1750
arabica,colombia,huila,caturra,washed,7.75,7.67,7.75,7.58,7.42,8.0,10.0,10.0,1750,1750
arabica,mexico,huazalingo,caturra,natural,7.83,7.58,7.58,7.5,7.75,7.67,10.0,10.0,700,700
arabica,guatemala,quetzaltenango,caturra,washed,7.67,7.58,7.58,7.67,7.75,7.75,10.0,10.0,1300,1300
arabica,brazil,south_of_minas,bourbon,natural,7.67,7.83,7.5,7.67,7.67,7.5,10.0,10.0,890,890
arabica,kenya,meru_county,sl28,washed,8.08,7.67,7.67,7.58,7.25,7.67,10.0,10.0,1700,1700
